tick,2015,2016,2017,2018,2019,2020,2021,2022
-10,0,0,0,-270,-290,-300,-320,-340
-9,0,0,0,-240,-260,-270,-290,-310
-8,0,0,0,-220,-230,-240,-260,-270
-7,0,0,0,-190,-200,-210,-220,-240
-6,0,0,0,-160,-170,-180,-190,-200
-5,0,0,0,-130,-140,-150,-160,-170
-4,0,0,0,-110,-110,-120,-130,-140
-3,0,0,0,-80,-90,-90,-100,-100
-2,0,0,0,-50,-60,-60,-60,-70
-1,0,0,0,-30,-30,-30,-30,-30
0,0,0,0,0,0,0,0,0
1,0,0,0,30,30,30,30,30
2,0,0,0,50,60,60,60,70
3,0,0,0,80,90,90,100,100
4,0,0,0,110,110,120,130,140
5,0,0,0,130,140,150,160,170
6,0,0,0,160,170,180,190,200
7,0,0,0,190,200,210,220,240
8,0,0,0,220,230,240,260,270
9,0,0,0,240,260,270,290,310
10,0,0,0,270,290,300,320,340
